APayroll_mean,APayroll_std,Establishment_mean,Establishment_std,county_health_exp,income,municipal_health_exp,pov,revenue,state,performance
1679.974868,8357.068277,5.585978836,12.34726081,323667,38370,52593,42121,2715454,17,nominal
1841.929125,9328.187541,6.977851606,15.52258768,1120699,44086,167436,44942,6107243,48,nominal
1183.3298,4719.550182,6.254416961,14.30129983,484773,54668,55845,71037,8844475,10,nominal
1007.445918,6457.95838,5.665038381,11.66876466,105745,43806.5,130426,46675,2679937,24,nominal
4687.440891,25107.86703,9.093992248,22.69892948,84575,54341,283015,78224,6405515,15,nominal
1199.771959,4667.710666,5.154560811,10.74167256,105745,40093.5,130426,19455,2679937,24,nominal
2811.513929,13770.56919,8.746397695,21.60428752,484773,46330,55845,99992,8844475,10,nominal
1229.775943,4848.345884,6.501179245,14.67973725,1013293,50151,518881,73275,19183472,43,nominal
352.6597938,1447.106945,3.575257732,5.774785441,105745,38586,130426,16155,2679937,24,nominal
129.3333333,557.861019,2.444444444,2.889856014,604123,38351.5,333100,8185,19259927,45,nominal
1405.007444,7112.04673,6.55707196,15.13487498,11515,36082,35573,40371,1355400,2,worse
4449.099824,18781.0108,14.53386104,41.91328221,2985764,43777,87281,138085,10561683,22,better
82.25283019,247.4700476,2.132075472,2.372807887,1013293,34563,518881,3539,19183472,43,nominal
826.1437309,3421.195176,4.322629969,7.830216443,9875,43682,20915,17651,478216,41,nominal
102.1423358,343.9407131,2.226277372,2.591879968,44739,45589,8488,5906,1022630,13,nominal
3837.557026,15258.25061,14.96843177,46.69446349,163330,47698.5,1908,106697.5,4260824,40,nominal
3698.102755,17908.86871,10.72962113,33.33012129,173444,50210.66667,7834,59633.33333,1790154,44,nominal
294.1218487,1134.355144,3.634453782,5.907068907,74198,40054,12378,8888,985177,26,nominal
1072.835234,5398.427081,6.129277567,13.40386023,550453,49183,66703,32680,7161676,23,nominal
3025.429664,13462.56351,6.790519878,14.72422872,69497,49578,105591,21613,1793454,36,nominal
1304.501262,6164.226962,6.653910849,15.67008636,295395,49059.66667,99470,54357.33333,12964161,42,nominal
499.8760504,2215.561141,3.43487395,6.107627861,604123,38162,333100,5821,19259927,45,nominal
973.2557726,3599.678717,4.184724689,7.353889792,1013293,41804,518881,25065,19183472,43,nominal
2462.523663,9267.053571,9.059670782,22.48048791,570809.405,57568,10080,59157,466985,30,worse
7672.644039,46574.52211,15.27723902,48.55199669,1013293,37992,518881,172577,19183472,43,worse
2303.404005,8164.689393,8.640753828,20.13285561,2153358,39264,186577,65644,12226715,35,worse
1530.121839,6924.461997,6.563218391,14.59306167,550453,42364,66703,43631,7161676,23,better
540.7510121,2702.978338,3.311740891,5.670819922,484773,30090,55845,17193,8844475,10,nominal
421.3573487,1510.962605,3.429394813,5.4796049,44739,39530,8488,8956,1022630,13,nominal
1802.59743,7283.221964,7.554603854,17.89731084,570809.405,48290,1198,35220,18760,46,nominal
4460.904252,26862.31637,11.15009591,39.98875553,923991,47208.55556,116650,68314,6458800,47,better
386.4053571,1626.367945,3.9375,7.619625881,2985764,43145,87281,17179,10561683,22,nominal
64279.74163,261489.61,91.85320023,306.6660716,173550,81615,133334,915157,10122257,31,better
3548.92678,15420.34044,10.63189569,27.07922453,54264,52402,6200,148509.5,907675,49,nominal
15841.90164,67480.67803,27.03606557,83.44612976,1551153,55634,1401569,401452,9526884,38,better
5845.23366,23498.28421,16.29084967,47.11672374,5851,51431,54674,123745,90072,19,better
27033.70707,103593.5822,49.87752525,160.1256657,41644,48053,39809,663706,1521721,32,better
3543.555355,16637.93406,11.75812274,34.95398855,2985764,41097,87281,85299,10561683,22,nominal
646.7198953,2837.534768,4.136125654,7.800484786,1493425,31610,10435,19114,26346495,27,nominal
71216.34006,267796.7367,99.13412463,337.9917265,1013293,49655,518881,1774453,19183472,43,better
5479.576261,26528.8855,13.57503075,42.96789031,484773,38298.5,55845,84440,8844475,10,worse
343.3733333,1440.876425,3.23030303,4.680086199,15408,43539,10031,12354.5,1439480,50,nominal
344.2834395,1774.478497,3.057324841,4.054330763,550453,44637,66703,4981,7161676,23,nominal
1399.944915,6219.749574,5.525423729,11.1715783,44739,47721,8488,44901,1022630,13,nominal
6137.67173,29098.31044,13.51476793,34.96076459,416996,46281,43585,127095,3292001,12,nominal
402.0024213,2590.46369,2.905569007,4.379818343,84575,39373,283015,12248,6405515,15,nominal
583.5017606,2045.414514,4.508802817,8.3516155,1493425,33971,10435,34266,26346495,27,nominal
849.7231969,3459.349097,5.718648473,14.6767328,69497,45687.5,105591,9459.75,1793454,36,nominal
5351.353782,23336.71463,13.48403361,37.20406297,1551153,41756,1401569,122712,9526884,38,better
272.7951807,828.3845599,2.620481928,3.74092284,484773,40369,55845,11507,8844475,10,nominal
2428.666478,10802.23824,8.412797282,22.18097174,295395,44870,99470,90082,12964161,42,nominal
3310.833795,14238.67564,8.939981533,21.97581217,550453,51283,66703,61452,7161676,23,nominal
1186.414911,4594.581427,5.786061588,11.31297383,95989,29622,6970,32341,3593979,25,worse
195.5559006,914.2316446,2.810559006,3.560533099,9875,45803,20915,5577,478216,41,nominal
343.0589474,2007.834849,3.233684211,5.165828376,601317,48464,211841,15359,6966418,14,nominal
1074.077086,4160.040823,7.44561774,18.31062577,44739,41797,8488,40305,1022630,13,nominal
3810.651143,14823.15733,13.79593565,38.7712306,44739,50559,8488,106650,1022630,13,better
4039.597394,24209.42069,9.115189069,27.9988124,54264,52652.25,6200,61226,907675,49,better
460.0741525,1644.86075,3.146186441,4.941464823,1013293,42864,518881,17486,19183472,43,nominal
624.1436031,2534.816569,3.524804178,5.060760233,20475,61279,7836,6452,657397,28,nominal
22457.44714,112988.7098,37.87458963,138.194261,201799,71405,61864,300143,3931577,5,better
307.2569721,1164.467829,3.496015936,5.871119482,44739,39681,8488,10774,1022630,13,nominal
634.7497594,3387.359748,3.488931665,5.827119403,323667,38017.5,52593,17038,2715454,17,nominal
3420.856861,14553.98527,10.68706811,27.54094689,1013293,41657,518881,87060,19183472,43,nominal
213.9878419,841.884131,2.401215805,2.906594433,20475,60429,7836,3178,657397,28,nominal
474.0149573,1666.156116,3.408119658,5.188739485,31102,54120,18745,11100,1546604,29,nominal
1067.73057,3780.021513,6.489637306,13.8871175,173444,60372,7834,50290,1790154,44,nominal
2290.566635,9962.508513,6.828379674,18.01791282,31102,40640.5,18745,24249.5,1546604,29,worse
1378.063187,6754.684272,5.092032967,11.22771881,323667,43585,52593,26370,2715454,17,nominal
1824.123288,9748.421838,6.670511896,15.32717795,1551153,44892.5,1401569,42506.5,9526884,38,worse
3140.723404,16304.54786,7.560992908,21.01740221,295395,37199,99470,55025.5,12964161,42,worse
1285.521164,5943.28769,5.324074074,11.11276349,2985764,43947,87281,41566,10561683,22,nominal
382.8383085,1401.101649,3.286069652,5.04001494,54264,35296,6200,14072,907675,49,nominal
9834.804934,49155.24654,19.24518119,54.62900996,1013293,66337,518881,318859,19183472,43,nominal
6035.507692,21368.63557,16.58803419,45.26227563,1013293,39732,518881,190230,19183472,43,worse
595.4420732,3059.877439,3.006097561,4.782098309,323667,26869,52593,13282,2715454,17,worse
395.6478873,1356.310104,3.145539906,4.991516692,323667,40107,52593,19654,2715454,17,nominal
1204.557536,5644.651645,4.967585089,9.211736559,416996,61665,43585,22858,3292001,12,nominal
17577.41556,79284.3865,42.84773936,137.0622631,945978,46677,150030,543050,26734290,9,nominal
286.0905263,1057.804325,3.021052632,4.778598005,1013293,39106,518881,9229,19183472,43,nominal
14763.08392,72576.73962,28.58041958,104.4689846,5851,61020.5,54674,291563,90072,19,better
82.26557377,310.2034004,2.331147541,2.930979099,74198,46246,12378,5627,985177,26,nominal
33181.6,206392.5162,61.32481752,225.2078116,2399276,33079,1365982,1381104,24965631,34,worse
1279.864385,9226.005918,5.437262357,11.04031287,9875,51893,20915,29546,478216,41,nominal
232.0791476,971.1339204,2.596651446,3.655540531,484773,31005.5,55845,11315.5,8844475,10,nominal
7412.308741,30522.29091,17.1010425,48.83614354,2399276,45142,1365982,187458,24965631,34,nominal
72104.07355,254528.7426,158.8231331,564.2751746,945978,50343,150030,1822973,26734290,9,worse
4377.479138,30658.67911,9.174482759,32.8702514,1120699,46070.33333,167436,46733.55556,6107243,48,better
252.481383,838.5177873,2.965425532,4.086579835,9875,45878,20915,5247,478216,41,nominal
1741.982481,7092.596318,8.769446391,25.17778507,1493425,42799.5,10435,64430.5,26346495,27,nominal
1064.366219,3848.465816,5.26519337,10.76654812,69497,51333.5,105591,38003,1793454,36,nominal
2980.804153,17621.98637,7.524775838,19.87967166,604123,43155,333100,42713,19259927,45,better
29741.97655,102275.2932,56.85267589,183.3499887,1551153,73662,1401569,618753,9526884,38,better
1161.536705,6667.758835,4.575856444,8.241823307,416996,47514,43585,19515,3292001,12,nominal
1601.230108,7943.917285,6.747670251,16.02878463,31102,40774.33333,18745,20269,1546604,29,nominal
1701.126168,6538.0142,7.945093458,19.16992099,484773,36484,55845,65970,8844475,10,worse
133.9382239,476.8855721,2.162162162,2.511361153,69968,25937,18248,8878,2311480,1,nominal
9544.34841,42243.62322,25.8770318,78.35224296,1493425,45738,10435,240697,26346495,27,better
1178.285307,4975.230877,5.544935806,11.36459631,601317,49062,211841,33485,6966418,14,nominal
1509.228302,10169.93935,5.859119497,15.52983776,1493425,43080.33333,10435,37277.66667,26346495,27,better
5785.248691,22087.8036,12.58027923,32.02274184,20475,63503,7836,85477,657397,28,better
522.7630435,1973.046417,3.467391304,5.712141804,1013293,45732,518881,16915,19183472,43,nominal
25103.29712,97142.02961,35.02079142,107.8190267,173550,76868,133334,437497,10122257,31,better
1335.392557,4139.669583,6.599039616,14.24316972,1013293,49286,518881,42524,19183472,43,nominal
440.2167689,1966.166383,4.079754601,7.32946691,1120699,41388,167436,15148,6107243,48,nominal
233.9339934,732.0976048,3.201320132,4.159374424,31102,47749,18745,6430,1546604,29,nominal
5798.319128,31918.09576,12.60439379,43.3945616,1551153,46762.625,1401569,87549,9526884,38,worse
3658.659259,18410.7032,13.14814815,43.54101842,44739,41849,8488,76744.66667,1022630,13,better
587.030837,1975.589956,3.86784141,6.626602099,484773,43330,55845,20769,8844475,10,nominal
5925.692245,23497.12937,15.96897959,44.40806047,1493425,55046,10435,185371,26346495,27,nominal
5351.006475,26141.17709,11.59666975,31.08137688,54264,37628,6200,93143,907675,49,better
3239.77862,17280.27743,12.75841751,35.0651778,173444,49556,7834,113037,1790154,44,nominal
886.0846774,3075.865499,4.467741935,8.005488505,69497,37298,105591,27553,1793454,36,better
856.021645,2737.670908,6.422799423,13.89666237,7983749,52598,1742437,43979,71170951,4,nominal
1078.205082,6841.837103,5.117253678,12.48360499,1013293,39923.75,518881,34943.25,19183472,43,better
1048.701796,4241.929473,5.652694611,12.15848982,570809.405,43011,1198,29988,18760,46,nominal
2381.091945,17790.08956,6.556581532,20.66295701,54264,39681.45455,6200,30911.36364,907675,49,nominal
876.265857,4133.914107,5.068825911,10.36753573,105745,45573,130426,40477,2679937,24,nominal
1277.222222,5876.501357,5.908579466,12.5269882,323667,37977,52593,34605,2715454,17,nominal
1549.265333,7507.873797,5.913333333,12.044719,1120699,66657,167436,49296,6107243,48,nominal
2515.168919,9000.077519,9.518018018,24.51711115,328548,91993,122246,89705,20885189,20,nominal
4516.761181,20206.58979,14.14514768,39.97189717,1551153,40930,1401569,132774,9526884,38,nominal
10494.21504,58987.03732,21.32766089,85.78847618,173550,52147.5,133334,152050.5,10122257,31,worse
7471.826032,36018.38189,20.4615873,66.97081343,1013293,35898,518881,208603.5,19183472,43,better
265.6132316,1074.261349,2.684478372,4.090455328,1013293,37941,518881,12294,19183472,43,nominal
2740.894325,20835.40981,7.118702953,17.43759991,15408,52571.8,10031,46243.2,1439480,50,nominal
3781.428289,19047.84366,11.8041543,28.75384129,69497,63889,105591,123265,1793454,36,nominal
339.9514286,1187.975485,3.057142857,4.636610616,484773,31427,55845,10619,8844475,10,nominal
219.865625,909.2566346,2.5375,3.265450374,295395,40809,99470,13583,12964161,42,nominal
4058.919052,14850.40267,14.55519215,40.29571566,44739,42237,8488,195586,1022630,13,nominal
3690.270758,18241.43688,10.6633574,27.34805989,105745,44248,130426,73397,2679937,24,nominal
3755.646035,13628.06485,18.41779497,59.1362932,173550,56520,133334,93730,10122257,31,nominal
848.3733871,3649.912233,5.188306452,11.29438599,15408,47388.75,10031,27378.5,1439480,50,nominal
930.2047478,4616.428735,5.201780415,10.24546853,550453,52670,66703,33709,7161676,23,nominal
1851.079408,10095.65086,7.652914129,24.93671231,295395,45919.53846,99470,39700.38462,12964161,42,nominal
2541.414828,10724.20896,8.684024713,22.67255936,116198,47476,9266,51131,5538008,33,nominal
1310.041068,6306.670983,5.775359343,14.09275124,295395,35920.8,99470,27449.2,12964161,42,nominal
2056.615642,7099.275656,10.76536313,26.47075813,1493425,46227,10435,67339,26346495,27,better
5547.722326,26302.43909,11.17260788,28.45129666,550453,86759,66703,94502,7161676,23,nominal
3289.600746,12127.44271,11.25093284,27.64520275,74198,43674,12378,80151,985177,26,better
234.7630208,1056.624582,2.7890625,4.201800578,323667,29303,52593,15561,2715454,17,worse
3455.929182,22558.19997,8.548377077,27.15302636,1013293,48965.88889,518881,50546.11111,19183472,43,better
911.8163265,3537.996382,5.032967033,9.647588066,44739,44160,8488,22992,1022630,13,nominal
239.420339,593.4977717,2.93220339,3.876777217,1013293,40689,518881,7932,19183472,43,nominal
7768.447705,36702.84105,15.36644093,43.14950668,1493425,43777,10435,152245,26346495,27,better
1476.781501,5602.350849,5.945040214,13.1786255,484773,50847,55845,64680,8844475,10,nominal
2356.796277,11998.56082,8.414684592,21.39862981,2399276,40936,1365982,76451,24965631,34,nominal
329.2861538,1088.364744,2.556923077,3.270800919,20475,53577,7836,3832,657397,28,nominal
2159.824187,9098.669937,8.486788618,21.24631087,2399276,48976,1365982,75115,24965631,34,nominal
2329.911672,10351.3126,9.418506835,22.72678536,328548,64880,122246,100665,20885189,20,nominal
4754.082707,18172.28713,13.54135338,36.03690048,1551153,52559,1401569,137488,9526884,38,nominal
2539.094883,10583.58053,7.528784648,16.85178413,416996,46063,43585,42564,3292001,12,nominal
642.0886427,2358.063756,6.01800554,13.34897888,201799,48012,61864,17018,3931577,5,nominal
1450.339056,9189.741377,4.555364807,8.933973103,1013293,54399,518881,35098.5,19183472,43,nominal
5108.144842,23555.0623,12.56440406,38.7651229,2153358,47716.5,186577,113671.5,12226715,35,nominal
4515.916751,15717.01986,13.44162437,35.415118,328548,87577,122246,151277,20885189,20,better
365.6691358,1147.190423,3.422222222,5.140308578,9875,37996,20915,8803,478216,41,nominal
21994.48431,85918.07999,40.5941337,127.4989433,163330,51206,1908,362395,4260824,40,nominal
935.1676136,5090.523526,5.676136364,11.57940974,2985764,45629,87281,25795,10561683,22,nominal
2862.167247,15617.10123,13.60487805,41.2392327,945978,39663,150030,86692.5,26734290,9,better
4285.041237,23408.21089,10.4185567,28.81294547,604123,45320,333100,42263,19259927,45,worse
226.6532847,806.9272565,2.572992701,3.106792833,484773,35165,55845,10111,8844475,10,nominal
214.31643,831.3163582,2.251521298,2.537848202,31102,48612,18745,3232.5,1546604,29,nominal
8221.139275,40132.55308,18.82042096,62.46540616,1493425,51117.5,10435,165507,26346495,27,nominal
420.1858191,1332.607044,3.704156479,6.237379991,484773,34440,55845,23511,8844475,10,nominal
3367.458865,16553.6413,10.65460993,31.40918838,2399276,39720.5,1365982,65445,24965631,34,nominal
2049.729609,8258.474221,8.005586592,17.68823254,41644,41388,39809,64128,1521721,32,nominal
827.2937182,4492.370524,4.371816638,8.261208852,295395,52544,99470,39080,12964161,42,nominal
3487.41182,15449.93943,11.18761726,28.71129526,923991,50033,116650,73045,6458800,47,better
3109.860099,15461.93884,8.935960591,22.32870004,2399276,45337,1365982,83404,24965631,34,better
1197.283679,6992.202249,5.980569948,12.9489023,2399276,44328,1365982,48616,24965631,34,nominal
1694.151832,8758.917068,8.127655678,28.90508507,1013293,42963.625,518881,57140.625,19183472,43,nominal
203.9782609,642.2430207,2.975543478,4.011828523,31102,43229,18745,5701,1546604,29,nominal
10503.19794,36594.69615,21.08313539,60.2083037,604123,66516,333100,225658,19259927,45,worse
2877.356618,12233.91593,8.736213235,21.87875962,570809.405,52246,10080,71998,466985,30,nominal
21994.86492,123625.6479,28.24237746,112.7929182,163330,53692.33333,1908,181759,4260824,40,nominal
8142.541879,34966.76603,19.10776302,62.64802303,604123,50522.5,333100,183819.5,19259927,45,nominal
420.5311438,2577.410395,2.600226501,3.82406154,31102,47708.66667,18745,4812.666667,1546604,29,nominal
952.2328326,5652.414102,4.126609442,6.758934898,95989,41433.5,6970,14466,3593979,25,nominal
458.7904192,1826.051354,3.263473054,4.45087108,11515,28006,35573,10601,1355400,2,worse
240.4965035,1047.03429,2.77972028,3.711112935,1013293,33919,518881,5597,19183472,43,nominal
1467.237571,8835.671549,6.043554773,14.14868057,1120699,50046.33333,167436,35380,6107243,48,nominal
1386.045614,6276.787295,7.047953216,16.05497851,550453,71397,66703,52287,7161676,23,nominal
9707.958027,36590.69527,20.12739323,58.04501697,570809.405,62618,1198,150062,18760,46,nominal
389.0294695,1540.622438,3.179764244,4.787531243,69497,32491.66667,105591,12117.33333,1793454,36,nominal
125.9407895,400.7534362,2.5,3.049644247,74198,41177,12378,5783,985177,26,nominal
546.9566929,2266.192373,3.651574803,6.084112712,1493425,39143,10435,14431,26346495,27,nominal
1759.023058,7449.893707,7.375,17.20854746,323667,47372.66667,52593,60476.33333,2715454,17,worse
726.107563,2466.137994,4.168067227,7.092367178,116198,50158,9266,23668,5538008,33,nominal
598.5072765,2807.666625,3.461538462,5.647923376,41644,36307,39809,24834,1521721,32,nominal
49.47692308,214.581211,1.871794872,1.787405641,69497,39617,105591,2325,1793454,36,nominal
2657.306387,13372.45091,13.42315369,34.98283556,945978,39285,150030,136711,26734290,9,better
15045.83258,55841.64068,35.07633098,108.2589782,651456,66514,16604,385638,3507538,37,nominal
496.6326276,2852.308524,3.422166874,5.949903647,295395,29106.5,99470,19181,12964161,42,nominal
1936.522255,7160.987123,10.31256182,25.87734263,923991,46531,116650,70531,6458800,47,better
656.8164666,2809.105294,4.493996569,8.746892329,2985764,33605,87281,30126,10561683,22,nominal
518.4373866,1719.697271,4.468239564,8.911605731,163330,30096,1908,32676,4260824,40,nominal
1522.382267,5161.536216,6.751453488,13.88141179,1551153,40043,1401569,37626,9526884,38,nominal
19663.75006,181773.1927,33.46929927,192.2952129,1120699,45432.41667,167436,233815.3333,6107243,48,nominal
2133.241987,13765.26367,7.48714336,24.49069145,95989,43751.6,6970,34889.2,3593979,25,better
1441.06152,5532.267315,8.593486128,21.30234402,651456,43048,16604,36628,3507538,37,nominal
2265.201239,15416.00378,7.575211268,26.65408879,295395,41800.83333,99470,37177.61111,12964161,42,nominal
5788.551243,25755.49297,13.17707702,38.73271846,416996,44616,43585,138331,3292001,12,nominal
2760.504016,11188.09121,10.10040161,25.03565216,1551153,39912,1401569,75532,9526884,38,better
391.4986226,2254.336159,2.988980716,4.087982699,550453,42095.5,66703,8328.5,7161676,23,nominal
564.0152672,2397.709272,4.018538713,7.572696073,11515,41009.5,35573,20016.5,1355400,2,nominal
5113.332483,18408.08783,15.07397959,40.29819239,2153358,61398,186577,198259,12226715,35,nominal
4809.802175,20595.05742,15.60727729,49.25762789,69497,45935.66667,105591,120537.3333,1793454,36,better
167.9285714,553.4155273,2.293233083,2.621484398,484773,30094,55845,6705,8844475,10,nominal
1489.689139,7317.711567,6.103308365,14.44308545,1551153,48643.22222,1401569,41484.22222,9526884,38,better
405.223913,1403.969876,3.336956522,5.28548218,257919,40663,33200,8822,2883315,16,nominal
1035.205734,3928.777049,4.721753794,8.905954713,95989,27500,6970,24621,3593979,25,worse
116.3287037,482.3692962,1.921296296,2.018129501,69497,35538,105591,5783,1793454,36,nominal
43936.10046,181673.0616,62.48923679,205.4649079,484773,62866,55845,706980,8844475,10,nominal
3845.013713,17763.23878,11.91139241,29.45665218,266881,45294,7756,123420,4172856,3,nominal
40.41618497,268.1579068,1.705202312,1.513438481,1013293,37242,518881,2961,19183472,43,nominal
831.2994455,3824.835459,4.408502773,8.83057828,295395,30950,99470,35117,12964161,42,nominal
4605.602215,19859.8485,14.89522998,42.58739686,266881,48732,7756,127211,4172856,3,better
1477.738307,7250.403013,6.20935412,13.59374903,9875,49022,20915,27504,478216,41,nominal
1796.496587,9060.366759,6.442406143,15.01739246,295395,40552,99470,47575,12964161,42,worse
280.6576819,1098.535004,3.288409704,4.426620992,257919,53487,33200,8266,2883315,16,nominal
